评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
说没有鼓掌笑的有点僵直不至于吧，人少在办公室，微笑点头也行呀？,2022-02-20 23:57:58,5,评论,说没有鼓掌笑的有点僵直不至于吧，人少在办公室，微笑点头也行呀？,0.265
手撕肯定难，而且很难做到线条规整。这方面无法和剪的比。,2022-02-20 23:58:12,5,评论,手撕肯定难，而且很难做到线条规整。这方面无法和剪的比。,0.0747
拍的镜头是不是有点拿的太近了？,2022-02-20 23:57:43,6,评论,拍的镜头是不是有点拿的太近了？,0.0621
这次老实说一般，没必要硬吹,2022-02-20 23:57:40,5,评论,这次老实说一般，没必要硬吹,0.0664
那些在说怕小西巴偷走的B友们大可不必那么担心，这手艺小西巴学不会[doge],2022-02-20 23:54:25,5,评论,那些在说怕小西巴偷走的B友们大可不必那么担心，这手艺小西巴学不会,0.5958
年年有余的鲸鱼[doge][doge],2022-02-20 23:53:53,5,评论,年有余的鲸鱼,0.6306
快申遗！偷国在路上了！哦申完了。那没事了,2022-02-20 23:53:40,5,评论,快申遗！偷国在路上了！哦申完了。那没事了,0.8783
看完打卡,2022-02-20 23:52:18,4,评论,看完打卡,0.8548
我撕纸能完美诠释什么叫稀碎,2022-02-20 23:51:13,5,评论,我撕纸能完美诠释什么叫稀碎,0.2514
看到这个撕纸一下就想起了以前撕很厚的纸撕到手指头肉的感觉,2022-02-20 23:50:32,3,评论,看到这个撕纸一下就想起了以前撕很厚的纸撕到手指头肉的感觉,0.1898
不乱加BGM，针不戳,2022-02-20 23:48:13,5,评论,不乱加BGM，针不戳,0.1143
