评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
真的(//∇//)好看(｡･ω･｡)ﾉ♡,2021-07-26 21:27:21,4,评论,真的(/∇/)好看(｡･ω･｡)ﾉ♡,0.9543
可惜做的蜡染，交了作业，学校收走就没发，问了老师也找不到。,2021-07-26 21:16:43,5,评论,可惜做的蜡染，交了作业，学校收走就没发，问了老师也找不到。,0.2622
第一回知道,2021-07-26 21:04:37,5,评论,第一回知道,0.4902
哇哦~第一次见，牛的呀[点赞],2021-07-26 20:24:06,5,评论,哇哦~第一次见，牛的呀,0.9096
[思考]感觉做小幅的装饰也很好看，好想学，我家这边还有扎染，但是扎染随机性太高了,2021-07-26 20:23:58,5,评论,感觉做小幅的装饰也很好看，好想学，我家这边还有扎染，但是扎染随机性太高了,0.9849
我也学过这个！是真的不容易控制，错了没有办法重来，但是成品真的好好看！,2021-07-26 19:52:07,4,评论,我也学过这个！是真的不容易控制，错了没有办法重来，但是成品真的好看！,0.9588
我是韩国人 这个东西我们韩国也有 就是我们韩服的花纹 谢谢你传播我们韩国的文化[doge],2021-07-26 19:39:19,5,评论,我是韩国人 这个东西我们韩国也有 就是我们韩服的花纹 谢你传播我们韩国的文化,0.8255
[doge],2021-07-26 19:49:27,5,回复,,0.5678
太厉害了！,2021-07-26 19:16:09,5,评论,太厉害了！,0.2705
好好康！！！！！！,2021-07-26 19:04:57,4,评论,好康！,0.7206
打上水印吧,2021-07-26 18:30:40,5,评论,打上水印吧,0.3215
这解说憨了点，，，子 子 子 的不太聪明的样子[辣眼睛],2021-07-26 18:24:13,6,评论,这解说憨了点，子 的不太聪明的样子,0.1879
想起去年我妈染布，我就帮忙起了两天布，指甲全都染成蓝紫蓝紫的,2021-07-26 18:24:03,5,评论,想起去年我妈染布，我就帮忙起了两天布，指甲全都染成蓝紫的,0.5879
想做成道袍[滑稽],2021-07-26 17:52:27,5,评论,想做成道袍,0.276
