,word,count
1488,流下,4
1489,吓死,4
1490,TM,4
1491,逼死,4
1492,考试,4
1493,学院,4
1494,棒呆,4
1495,鸿鶱凤立,4
1496,PS,4
1497,两次,4
1498,一支,4
1499,我超,4
1500,观众,4
1501,耳机,4
1502,说累,4
1503,持续,4
1504,撒花,4
1505,考上,4
1506,发出,4
1507,劣势,4
1508,两天,4
1509,爆哭,4
1510,这群,4
1511,久违,4
1512,OMG,4
1513,拖到,4
1514,好歹,4
1515,未有,4
1516,泪流满面,4
1517,回去,4
1518,冠王,4
1519,连斩,4
1520,痛苦,4
1521,身披,4
1522,人缘,4
1523,一穿,4
1524,冰岛人,4
1525,解气,4
1526,道德,4
1527,双杀,4
1528,f6,4
1529,搞个,4
1530,画面,4
1531,线下,4
1532,大四,4
1533,40,4
1534,校园,4
1535,变态,4
1536,奇怪,4
1537,别搞,4
1538,防疫,4
1539,大可不必,4
1540,出格,4
1541,禁止,4
1542,没脑子,4
1543,违法乱纪,4
1544,搞臭,4
1545,打人,4
1546,98,3
1547,电视,3
1548,50,3
1549,创新,3
1550,神装,3
1551,同行,3
1552,领奖台,3
1553,四次,3
1554,称号,3
1555,无论是,3
1556,EDG2021,3
1557,佛罗里达,3
1558,S7,3
1559,S8,3
1560,一脚,3
1561,光明,3
1562,太子,3
1563,登基,3
1564,粉上,3
1565,老泪纵横,3
1566,诸神,3
1567,好听,3
1568,新年,3
1569,一个多月,3
1570,那句话,3
1571,爷青回,3
1572,好宝,3
1573,s7,3
1574,春冠,3
1575,动力,3
1576,打个,3
1577,电话,3
1578,双冠王,3
1579,威武,3
1580,壮志,3
1581,公布,3
1582,期末,3
1583,勇往直前,3
1584,保住,3
1585,辣个,3
1586,留念,3
1587,地步,3
1588,最佳,3
1589,牌面,3
1590,梦幻,3
1591,分析,3
1592,浪漫,3
1593,王佐,3
1594,一周,3
1595,快来,3
1596,全明星,3
1597,god,3
1598,猪头,3
1599,始终,3
1600,礼物,3
1601,小伙,3
1602,爷青结,3
1603,动容,3
1604,哭泣,3
1605,快去,3
1606,崛起,3
1607,留住,3
1608,冲击,3
1609,憋气,3
1610,好不好,3
1611,李汭璨,3
1612,adc,3
1613,朴到,3
1614,必买,3
1615,水晶,3
1616,噩梦,3
1617,每场,3
1618,奥巴马,3
1619,悲观,3
1620,热词,3
1621,EDC,3
1622,妹子,3
1623,周边,3
1624,搞不懂,3
1625,联赛,3
1626,患者,3
1627,语音,3
1628,Flandre,3
1629,心满意足,3
1630,话题,3
1631,分钟,3
1632,没白,3
1633,早晚,3
1634,追求,3
1635,拜托,3
1636,赌赢,3
1637,热烈祝贺,3
1638,加速,3
1639,打折,3
1640,跪求,3
1641,对线,3
1642,夸张,3
1643,申请,3
1644,白头发,3
1645,佩服,3
1646,鼓励,3
1647,帅爆,3
1648,那晚,3
1649,围观,3
1650,青少年,3
1651,发展,3
1652,赞助商,3
1653,col,3
1654,诟病,3
1655,谩骂,3
1656,挨骂,3
1657,悲傷,3
1658,老头,3
1659,奖金,3
1660,有点儿,3
1661,Nb,3
1662,等于,3
1663,颤抖,3
1664,不见,3
1665,de,3
1666,放纵,3
1667,默地,3
1668,节奏,3
1669,腾讯,3
1670,运营,3
1671,nm,3
1672,好玩,3
1673,yeah,3
1674,宣传片,3
1675,珠江,3
1676,名副其实,3
1677,丢脸,3
1678,忠实,3
1679,登峰造极,3
1680,之日,3
1681,牛宝,3
1682,不来,3
1683,桂冠,3
1684,过生日,3
1685,ok,3
1686,对决,3
1687,开启,3
1688,剧情,3
1689,这份,3
1690,gkd,3
1691,一手,3
1692,给我发,3
1693,场上,3
1694,调侃,3
1695,DEG,3
1696,人民日报,3
1697,上次,3
1698,能力,3
1699,尴尬,3
1700,一度,3
1701,半天,3
