Source	Target	Type	Weight
民宿	饭菜	Undirected	18
民宿	观景	Undirected	12
民宿	别墅	Undirected	10
民宿	景观	Undirected	11
民宿	粥	Undirected	11
民宿	油条	Undirected	27
民宿	猫咪	Undirected	15
民宿	猫	Undirected	11
民宿	天台	Undirected	10
民宿	咖啡	Undirected	42
民宿	晚餐	Undirected	25
民宿	午餐	Undirected	10
民宿	路	Undirected	13
民宿	餐食	Undirected	20
民宿	龙脊	Undirected	47
民宿	梯田	Undirected	75
民宿	日式	Undirected	10
民宿	山路	Undirected	16
民宿	菜品	Undirected	11
民宿	陌野	Undirected	15
民宿	离号	Undirected	12
民宿	田头	Undirected	13
民宿	辣子鸡	Undirected	15
民宿	金坑	Undirected	13
民宿	米酒	Undirected	13
床	房东	Undirected	16
床	设施	Undirected	19
床	朋友	Undirected	10
床	交通	Undirected	14
床	感觉	Undirected	15
床	环境	Undirected	13
床	老板	Undirected	11
床	体验	Undirected	13
床	卫生间	Undirected	13
床	早餐	Undirected	15
阳台	风景	Undirected	16
阳台	朋友	Undirected	10
阳台	感觉	Undirected	15
阳台	房	Undirected	11
阳台	早餐	Undirected	19
阳台	观景台	Undirected	16
阳台	梯田	Undirected	11
很漂亮	房子	Undirected	10
很漂亮	房东	Undirected	15
管家	房子	Undirected	12
管家	交通	Undirected	11
管家	感觉	Undirected	16
管家	环境	Undirected	12
管家	体验	Undirected	12
管家	早餐	Undirected	21
行程	房东	Undirected	14
行程	交通	Undirected	10
行程	感觉	Undirected	11
行程	老板	Undirected	14
行程	早餐	Undirected	19
美食	风景	Undirected	11
美食	感觉	Undirected	11
心	早餐	Undirected	11
车	停车场	Undirected	14
车	早餐	Undirected	15
车	观景台	Undirected	11
车	龙脊	Undirected	11
车	梯田	Undirected	12
风景	设施	Undirected	17
风景	朋友	Undirected	11
风景	交通	Undirected	15
风景	感觉	Undirected	20
风景	环境	Undirected	15
风景	停车场	Undirected	11
风景	步行	Undirected	13
风景	老板	Undirected	19
风景	体验	Undirected	13
风景	味道	Undirected	14
风景	房	Undirected	10
风景	餐厅	Undirected	10
风景	早餐	Undirected	30
风景	观景台	Undirected	24
风景	咖啡	Undirected	13
风景	龙脊	Undirected	14
风景	梯田	Undirected	18
房子	房东	Undirected	61
房子	设施	Undirected	17
房子	朋友	Undirected	14
房子	交通	Undirected	17
房子	感觉	Undirected	15
房子	环境	Undirected	14
房子	性价比	Undirected	17
房子	游玩	Undirected	10
房子	老板	Undirected	16
房子	体验	Undirected	11
房子	小区	Undirected	10
房东	设施	Undirected	43
房东	一家人	Undirected	15
房东	朋友	Undirected	27
房东	交通	Undirected	27
房东	厨房	Undirected	12
房东	姐姐	Undirected	10
房东	感觉	Undirected	38
房东	空调	Undirected	11
房东	环境	Undirected	39
房东	性价比	Undirected	17
房东	图片	Undirected	15
房东	机会	Undirected	16
房东	用心	Undirected	13
房东	游玩	Undirected	12
房东	景区	Undirected	11
房东	孩子	Undirected	12
房东	步行	Undirected	16
房东	体验	Undirected	25
房东	特色	Undirected	15
房东	小区	Undirected	12
房东	水果	Undirected	10
房东	总体	Undirected	12
房东	房屋	Undirected	11
房东	花园	Undirected	10
设施	朋友	Undirected	29
设施	交通	Undirected	54
设施	价格	Undirected	16
设施	店	Undirected	13
设施	感觉	Undirected	44
设施	空调	Undirected	14
设施	前台	Undirected	17
设施	服务态度	Undirected	28
设施	效果	Undirected	11
设施	热水	Undirected	11
设施	环境	Undirected	54
设施	性价比	Undirected	38
设施	机会	Undirected	11
设施	用心	Undirected	16
设施	游玩	Undirected	11
设施	景区	Undirected	15
设施	床品	Undirected	12
设施	店家	Undirected	10
设施	步行	Undirected	13
设施	老板	Undirected	35
设施	体验	Undirected	29
设施	味道	Undirected	16
设施	特色	Undirected	10
设施	空间	Undirected	18
设施	态度	Undirected	10
设施	总体	Undirected	11
设施	细节	Undirected	16
设施	硬件	Undirected	17
设施	智能	Undirected	14
设施	整体	Undirected	15
设施	马桶	Undirected	14
设施	房屋	Undirected	14
设施	房	Undirected	11
设施	店里	Undirected	12
设施	早餐	Undirected	40
设施	江景	Undirected	10
设施	观景台	Undirected	18
设施	油条	Undirected	17
设施	浴缸	Undirected	11
设施	龙脊	Undirected	11
设施	梯田	Undirected	18
洗衣机	冰箱	Undirected	11
朋友	交通	Undirected	17
朋友	店	Undirected	10
朋友	感觉	Undirected	44
朋友	前台	Undirected	15
朋友	环境	Undirected	26
