片名,地区,评分,上映时间
"克劳斯：圣诞节的秘密 Klaus",西班牙/英国,8.7,2019-11-08(西班牙/英国)
"绅士们 The Gentlemen",英国/美国,8.3,2019-12-03(伦敦首映)/2020-01-24(美国)
"波斯语课 Persischstunden",俄罗斯/德国/白俄罗斯,8.2,2021-03-19(中国大陆)/2020-02-22(柏林电影节)/2020-09-24(德国)
"罗小黑战记",中国大陆,8.1,2019-09-07(中国大陆)/2019-08-27(大规模点映)
"小妇人 Little Women",美国/加拿大,8.5,1994-12-21(加拿大)/1994-12-25(美国)
"教宗的承继 The Two Popes",英国/意大利,8.6,2019-08-31(特柳赖德电影节)/2019-11-27(美国)
"易烊千玺2019玊尔演唱会",中国大陆,9.3,2019-12-22(中国大陆)
"老友记25周年：周年纪念 Friends 25th: The One With The Anniversary",美国,9.3,2019-09-23(美国)
"来自深渊：深魂的黎明 劇場版 メイドインアビス 深き魂の黎明",日本,8.7,2020-01-17(日本)
"路人女主的养成方法 Fine 冴えない彼女の育てかた Fine",日本,9.1,2019-10-26(日本)
"我和我的祖国",中国大陆,7.7,2019-09-30(中国大陆)
"理查德·朱维尔的哀歌 Richard Jewell",美国,8.2,2020-01-10(中国大陆)/2019-11-20(AFIFest)/2019-12-13(美国)
"音乐 音楽",日本,8.6,2019-09-26(加拿大)/2020-01-11(日本)
"南山的部长们 남산의 부장들",韩国,8.1,2020-01-22(韩国)
"我在雨中等你 The Art of Racing in the Rain",美国,8.3,2019-08-09(美国)
"唐顿庄园 Downton Abbey",英国/美国,8.1,2019-12-13(中国大陆)/2019-09-13(英国)
"蜘蛛侠：英雄远征 Spider-Man: Far from Home",美国,7.7,2019-06-28(中国大陆)/2019-07-02(美国)
"真心半解 The Half of It",美国,8.0,2020-05-01(美国)
"误杀",中国大陆,7.6,2019-12-13(中国大陆)/2020-07-20(中国大陆重映)/2019-12-07(大规模点映)
"饥饿站台 El hoyo",西班牙,7.8,2019-09-06(多伦多电影节)/2019-11-08(西班牙)
"致允熙 윤희에게",韩国,8.2,2019-10-12(釜山电影节)/2019-11-14(韩国)
"平原上的夏洛克",中国大陆,7.9,2019-11-29(中国大陆)/2019-07-22(FIRST青年影展)
"悲惨世界：音乐会现场 Les Misérables: The Staged Concert",英国,9.2,2019-12-02(英国)/2019-12-08(美国)
"鸣鸟不飞：乌云密布 囀る鳥は羽ばたかない The clouds gather",日本,8.2,2020-02-15(日本)
"安娜 Anna",法国/美国/加拿大/俄罗斯,7.8,2019-06-21(美国)/2019-07-10(法国)
"续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie",美国,8.0,2019-10-11(美国)
"气球",中国大陆,7.8,2020-11-20(中国大陆)/2019-08-30(威尼斯电影节)
"树上有个好地方",中国大陆,8.0,2020-09-06(中国大陆网络)/2019-10-09(德国)
"与爱同居之永恒的爱 TharnType Special: Everlasting Love",泰国,8.3,2020-01-29(泰国)
"1/2的魔法 Onward",美国,7.7,2020-08-19(中国大陆)/2020-02-21(柏林电影节)/2020-03-06(美国)
"七号房的礼物 7. Koğuştaki Mucize",土耳其,7.8,2020-10-15(中国大陆)/2019-10-11(土耳其)
"柳烈的音乐专辑 유열의 음악앨범",韩国,7.9,2019-08-28(韩国)
"永不消逝的电波 高清放映 永不消逝的电波",中国大陆,9.3,2020-05-14(中国大陆)
"半个喜剧",中国大陆,7.4,2019-12-20(中国大陆)
"再见，妈妈 Thưa mẹ con đi",越南,8.1,2019-08-16(越南)
"决战中途岛 Midway",中国大陆/中国香港/加拿大/美国,7.6,2019-11-08(美国/中国大陆)
